"","latitude_deg","longitude_deg","iata_code"
"16430",46.485001,-84.509399,"YAM"
"16495",53.3097000122,-113.580001831,"YEG"
"16625",45.3224983215332,-75.6691970825195,"YOW"
"16650",46.7911,-71.393303,"YQB"
"16716",45.4706001282,-73.7407989502,"YUL"
"16735",49.9099998474,-97.2398986816,"YWG"
"16758",43.035599,-81.1539,"YXU"
"16766",49.4631004333496,-119.601997375488,"YYF"
"16776",47.618598938,-52.7518997192,"YYT"
"16780",43.6772003174,-79.6305999756,"YYZ"
"26550",37.158501,-98.079597,"ANY"
"33306",19.2670001984,-69.7419967651,"AZS"
"33317",18.4507007598877,-68.9117965698242,"LRM"
"33320",18.5673999786,-68.3634033203,"PUJ"
"33323",19.7579002380371,-70.5699996948242,"POP"
"33729",18.5037002563477,-77.9133987426758,"MBJ"
"33801",15.7753,-96.262604,"HUX"
"33818",20.5223999023438,-86.9255981445312,"CZM"
"33864",20.6800994873047,-105.253997802734,"PVR"
"33869",23.1518001556396,-109.721000671387,"SJD"
"33885",21.0365009308,-86.8770980835,"CUN"
"33890",17.601600647,-101.460998535,"ZIH"
"34227",10.5933,-85.544403,"LIR"
"34631",22.4610004425,-78.3283996582,"CCC"
"34644",22.989200592041,-82.4091033935547,"HAV"
"34645",20.7856006622314,-76.3151016235352,"HOG"
"34667",22.4922008514404,-79.943603515625,"SNU"
"34675",23.0344009399414,-81.435302734375,"VRA"
"35995",23.5625991821,-75.8779983521,"GGT"
"39414",21.32062,-157.924228,"HNL"
"45233",10.4424,-75.513,"CTG"
"48358",17.1367,-61.792702,"ANU"
"48363",13.0746,-59.4925,"BGI"
"48497",16.265301,-61.531799,"PTP"
"48501",12.0041999816895,-61.7862014770508,"GND"
"48534",17.3111991882324,-62.7187004089355,"SKB"
"48540",13.7332,-60.952599,"UVF"
"48656",12.1889,-68.959801,"CUR"
