"","Destination","IATA","TTE"
"1","ANTIGUA","ANU","227"
"2","BRIDGETOWN","BGI","8"
"3","CANCUN","CUN","191"
"4","CARTAGENA","CTG","148"
"5","CAYO COCO","CCC","141"
"6","CAYO SANTA CLARA","SNU","147"
"7","COZUMEL","CZM","197"
"8","CURACAO","CUR","193"
"9","EDMONTON","YEG","26"
"10","GENERIC","ANY","625"
"11","GEORGE TOWN","GGT","300"
"12","GRENADA","GND","258"
"13","GUADELOUPE","PTP","14"
"14","HAVANA","HAV","300"
"15","HOLGUIN","HOG","134"
"16","HONOLULU","HNL","39"
"17","HUATULCO","HUX","190"
"18","IXTAPA/ZIHUATANEJO","ZIH","206"
"19","LA ROMANA","LRM","154"
"20","LIBERIA","LIR","218"
"21","LONDON","YXU","60"
"22","MONTEGO BAY","MBJ","207"
"23","MONTREAL","YUL","153"
"24","OTTAWA","YOW","114"
"25","PENTICTON, BC","YYF","9"
"26","PUERTO PLATA","POP","159"
"27","PUERTO VALLARTA","PVR","192"
"28","PUNTA CANA","PUJ","173"
"29","QUEBEC","YQB","65"
"30","SAMANA","AZS","158"
"31","SAN JOSE DEL CABO","SJD","185"
"32","SAULT ST MARIE","YAM","172"
"33","ST. JOHNS, NL","YYT","23"
"34","ST. KITTS","SKB","222"
"35","ST. LUCIA-VIEUX FORT","UVF","241"
"36","TORONTO","YYZ","274"
"37","VARADERO","VRA","122"
"38","WINNIPEG","YWG","139"
